x_0,            x_1,            x_2,            x_3,            x_4,            x_5,            x_6,            x_7,            x_8,            u_0,            u_1,            u_2,
  3.225885e-02, -1.999547e-04, -4.971029e-03,  6.598900e-02,  1.118723e-03, -7.918182e-03, -2.513142e-03,  4.257815e-04,  2.773944e-04, -9.998894e-01, -1.000000e+00,  1.000000e+00,             
3.145143e-02, -3.967441e-04, -3.989285e-03,  6.273040e-02, -1.281405e-03, -5.014082e-03, -5.018503e-03,  9.503540e-04, -3.217851e-02, -1.000000e+00, -9.997509e-01,  1.000000e+00,             
3.060668e-02, -5.737261e-04, -2.412978e-03,  5.971782e-02, -3.887484e-03, -2.071592e-03, -7.844843e-03,  1.530163e-03, -6.466143e-02, -9.999648e-01, -9.997802e-01,  9.998403e-01,             
2.959591e-02, -7.847090e-04, -1.310267e-03,  5.670571e-02, -6.638763e-03,  6.321782e-04, -1.125777e-02,  2.115095e-03, -9.721561e-02, -9.988557e-01, -9.970797e-01,  9.998983e-01,             
2.835768e-02, -1.034919e-03, -1.148899e-03,  5.384306e-02, -1.000042e-02,  1.610636e-03, -1.486295e-02,  2.702916e-03, -1.298181e-01, -9.994961e-01, -9.963206e-01,  9.998244e-01,             
2.831081e-02, -1.926687e-03,  7.166448e-04,  4.617157e-02, -1.260191e-02,  1.566854e-03, -1.884086e-02,  3.277513e-03, -1.625066e-01, -9.994812e-01, -8.180497e-01,  9.999244e-01,             
2.967736e-02, -6.236434e-03,  2.283504e-03,  2.966494e-02, -6.247456e-03,  2.092945e-03, -2.381889e-02,  4.277598e-03, -1.952130e-01, -9.998997e-01, -5.424421e-01,  9.985350e-01,             
2.703744e-02, -7.634892e-03,  3.870277e-03,  2.702767e-02, -7.641193e-03,  3.746231e-03, -2.750978e-02,  5.063346e-03, -2.243691e-01, -9.981927e-01, -2.908333e-01,  9.973656e-01,             
2.313434e-02, -8.012964e-03,  6.510504e-03,  2.307696e-02, -8.028878e-03,  5.734307e-03, -3.029090e-02,  5.336001e-03, -2.533493e-01, -9.983099e-01, -1.392187e-01,  9.999876e-01,             
1.846091e-02, -7.062692e-03,  7.487718e-03,  1.839404e-02, -7.126606e-03,  6.632991e-03, -3.217826e-02,  4.749751e-03, -2.823462e-01, -9.999841e-01, -3.034987e-03,  9.985883e-01,             
1.235575e-02, -5.096449e-03,  7.196682e-03,  1.254728e-02, -5.223698e-03,  7.510165e-03, -3.386236e-02,  4.223657e-03, -3.113190e-01, -9.958632e-01,  1.758584e-04,  9.999603e-01,             
8.473174e-03, -2.116644e-03,  1.071618e-02,  7.015753e-03, -4.401835e-02,  1.095382e-02, -3.491325e-02,  3.507206e-03, -3.403895e-01, -9.823720e-01,  2.370738e-04,  6.851552e-01,             
4.831162e-03, -4.304286e-04,  9.756382e-03,  2.636791e-03, -4.904950e-02,  1.501990e-02, -3.645637e-02,  1.765477e-03, -3.713963e-01, -6.632336e-01,  1.747452e-04,  3.609113e-01,             
2.432502e-03,  2.668744e-04,  8.809358e-03, -5.809447e-05, -5.146922e-02,  1.929337e-02, -3.819108e-02, -6.068060e-04, -4.018268e-01, -4.274063e-01,  8.587826e-05,  5.065848e-02,             
1.340233e-03,  5.573963e-04,  8.329736e-03, -2.276742e-03, -5.282063e-02,  2.318197e-02, -4.022813e-02, -3.190174e-03, -4.319015e-01, -2.097345e-01,  5.532589e-05,  1.289750e-03,             
9.071748e-04,  6.670936e-04,  7.727297e-03, -4.602717e-03, -5.625275e-02,  4.088472e-02, -4.247881e-02, -5.868960e-03, -4.615881e-01, -4.576937e-03,  4.042369e-05, -5.093572e-04,             
5.536023e-04,  6.242013e-04,  6.733668e-03, -8.690978e-03, -5.328719e-02,  9.954417e-02, -4.487160e-02, -9.199600e-03, -4.899692e-01, -3.234913e-05,  4.478530e-05, -5.136026e-04,             
4.579670e-04,  5.603310e-04,  5.897528e-03, -4.404159e-02, -5.195450e-02,  9.680491e-02, -4.773128e-02, -1.348227e-02, -5.128837e-01, -9.952719e-06,  4.813942e-05, -5.228114e-04,             
3.844558e-04,  4.959309e-04,  5.098289e-03, -4.491831e-02, -5.180036e-02,  9.470942e-02, -5.315504e-02, -1.770422e-02, -5.355588e-01,  7.782179e-06,  3.619601e-05, -5.362929e-04,             
3.365317e-04,  4.356733e-04,  4.500506e-03, -4.488713e-02, -5.169826e-02,  9.255502e-02, -5.848908e-02, -2.207271e-02, -5.583100e-01,  1.674898e-05,  2.842584e-05, -5.484647e-04,             
2.964857e-04,  3.675332e-04,  3.744235e-03, -4.478617e-02, -5.158908e-02,  9.035109e-02, -6.352859e-02, -2.640013e-02, -5.811136e-01,  2.006923e-05,  2.192483e-05, -5.526386e-04,             
2.334188e-04,  2.657991e-04,  2.691849e-03, -4.461721e-02, -5.146947e-02,  8.811586e-02, -6.815326e-02, -3.050727e-02, -6.039660e-01,  2.524022e-05,  1.814539e-05, -5.549993e-04,             
1.309995e-04,  1.449811e-04,  1.697648e-03, -4.439800e-02, -5.135522e-02,  8.582872e-02, -7.214594e-02, -3.425923e-02, -6.268046e-01,  3.201051e-05,  1.428142e-05, -5.552039e-04,             
3.593160e-05,  5.489473e-05,  9.593444e-04, -4.413800e-02, -5.125211e-02,  8.348471e-02, -7.539701e-02, -3.770719e-02, -6.495962e-01,  3.580341e-05,  4.252084e-06, -5.456051e-04,             
2.374739e-05,  2.630400e-05,  3.872751e-04, -4.385046e-02, -5.114392e-02,  8.108967e-02, -7.783562e-02, -4.091933e-02, -6.723452e-01,  3.307352e-05, -1.675599e-06, -5.392850e-04,             
-5.940847e-05, -9.919997e-05, -4.076959e-05, -4.353682e-02, -5.103574e-02,  7.866743e-02, -7.971057e-02, -4.403612e-02, -6.951001e-01,  3.201631e-05, -3.521910e-06, -5.371251e-04,             
-3.326103e-03,  5.451709e-03,  6.405757e-04, -4.300114e-02, -5.100840e-02,  7.619354e-02, -8.110011e-02, -4.737270e-02, -7.179248e-01,  4.237172e-05, -1.085864e-05, -5.386646e-04,             
-7.935250e-03,  1.678837e-02, -1.728201e-03, -4.249604e-02, -5.081256e-02,  7.370549e-02, -8.361456e-02, -4.953532e-02, -7.443486e-01,  5.081499e-05, -2.201351e-05, -5.499995e-04,             
-1.410713e-02,  2.143613e-02, -4.505879e-03, -4.222624e-02, -5.055142e-02,  7.119740e-02, -8.494822e-02, -5.455092e-02, -7.707984e-01,  2.790494e-05,  1.036603e-05, -5.696222e-04,             
-1.857403e-02,  2.355850e-02, -7.519897e-03, -4.208489e-02, -5.022766e-02,  6.814560e-02, -8.584499e-02, -6.106396e-02, -7.971122e-01,  2.335630e-05,  4.761422e-05, -2.044392e-03,             

