x_0,            x_1,            x_2,            x_3,            x_4,            x_5,            x_6,            x_7,            u_0,            u_1,
  8.735362e-01,  5.000006e-02,  4.999976e-02,  4.999972e-02,  1.851140e+00,  4.999987e-02,  4.999993e-02,  4.999942e-02,  2.209869e+00,  1.031702e+01,             
8.747864e-01,  1.174861e-02,  9.627803e-02,  1.076129e-01,  1.852390e+00, -6.910598e-02,  9.627837e-02,  3.039358e-01,  1.303693e+00,  6.603748e+00,             
8.750803e-01, -2.036577e-02,  1.425875e-01,  1.440180e-01,  1.850662e+00, -1.629172e-01,  1.425881e-01,  4.709915e-01,  6.403429e-01,  3.926923e+00,             
8.745714e-01, -4.796885e-02,  1.888539e-01,  1.648655e-01,  1.846589e+00, -2.383201e-01,  1.888545e-01,  5.753165e-01,  1.542432e-01,  1.997278e+00,             
8.733726e-01, -7.226155e-02,  2.350183e-01,  1.742693e-01,  1.840631e+00, -3.003423e-01,  2.350192e-01,  6.342920e-01, -2.020166e-01,  6.050005e-01,             
8.715665e-01, -9.413330e-02,  2.810339e-01,  1.752355e-01,  1.833122e+00, -3.526601e-01,  2.810348e-01,  6.604042e-01, -4.627266e-01, -4.008932e-01,             
8.692136e-01, -1.142445e-01,  3.268617e-01,  1.699705e-01,  1.824306e+00, -3.979652e-01,  3.268627e-01,  6.626237e-01, -6.527499e-01, -1.128309e+00,             
8.663578e-01, -1.330866e-01,  3.724691e-01,  1.601023e-01,  1.814356e+00, -4.382324e-01,  3.724702e-01,  6.474113e-01, -7.896545e-01, -1.653915e+00,             
8.630309e-01, -1.510290e-01,  4.178278e-01,  1.468515e-01,  1.803400e+00, -4.749160e-01,  4.178290e-01,  6.194460e-01, -8.823913e-01, -2.031946e+00,             
8.592554e-01, -1.683737e-01,  4.629126e-01,  1.312336e-01,  1.791527e+00, -5.090916e-01,  4.629138e-01,  5.821472e-01, -9.413297e-01, -2.300667e+00,             
8.550465e-01, -1.853465e-01,  5.077005e-01,  1.140251e-01,  1.778800e+00, -5.415597e-01,  5.077019e-01,  5.380461e-01, -9.749459e-01, -2.486717e+00,             
8.504135e-01, -2.021110e-01,  5.521703e-01,  9.580724e-02,  1.765261e+00, -5.729208e-01,  5.521717e-01,  4.890571e-01, -9.886420e-01, -2.608895e+00,             
8.453616e-01, -2.187885e-01,  5.963016e-01,  7.703801e-02,  1.750938e+00, -6.036276e-01,  5.963031e-01,  4.366600e-01, -9.861363e-01, -2.680187e+00,             
8.398928e-01, -2.354692e-01,  6.400748e-01,  5.809165e-02,  1.735847e+00, -6.340223e-01,  6.400765e-01,  3.820361e-01, -9.701299e-01, -2.709986e+00,             
8.340069e-01, -2.522199e-01,  6.834707e-01,  3.928227e-02,  1.719996e+00, -6.643618e-01,  6.834725e-01,  3.261524e-01, -9.426967e-01, -2.704140e+00,             
8.277021e-01, -2.690878e-01,  7.264704e-01,  2.087847e-02,  1.703387e+00, -6.948414e-01,  7.264723e-01,  2.698453e-01, -9.055532e-01, -2.666881e+00,             
